warehouse_event_id;warehouse_id;order_id;tracking_number;carrier_name;origin_city;origin_country;warehouse_status;status_timestamp_raw;record_updated_at;batch_date
1001;WH-AMS;ORD-9001;TRACK-0001;DHL;Amsterdam;NL;shipped;01/03/2026 07:15;01/03/2026 07:20;2026-03-01
1002;WH-LAX;ORD-9002;track-0002;FedEx;Los Angeles;US;packed;01/03/2026 14:05;01/03/2026 14:07;2026-03-01
1003;WH-SIN;ORD-9003;TRK-3;UPS;Singapore;SG;SHIPPED;01/03/2026 13:40;01/03/2026 13:42;2026-03-01
1004;WH-AMS;ORD-9001;TRACK-0001;dhl;Amsterdam;NL;in_transit;02/03/2026 04:00;02/03/2026 04:01;2026-03-02
1005;WH-LHR;ORD-9004;TRACK-0004;DHL;London;GB;shipped;02/03/2026 09:10;02/03/2026 09:11;2026-03-02
1006;WH-LAX;ORD-9002;TRACK-0002;FEDEX;Los Angeles;US;shipped;02/03/2026 15:55;02/03/2026 16:01;2026-03-02
1007;WH-SIN;ORD-9003;TRK-3;UPS;Singapore;SG;delayed;02/03/2026 22:20;02/03/2026 22:25;2026-03-03
1008;WH-LHR;ORD-9005;;Royal Mail;London;GB;packed;03/03/2026 10:00;03/03/2026 10:05;2026-03-03
1009;WH-AMS;ORD-9006;TRACK-0006;DHL;Amsterdam;NL;cancelled;03/03/2026 10:45;03/03/2026 10:46;2026-03-03
1010;WH-LAX;ORD-9007;TRACK-0007;FedEx;Los Angeles;US;shipped;03/03/2026 12:50;03/03/2026 12:55;2026-03-03
1011;WH-LAX;ORD-9007;TRACK-0007;FedEx;Los Angeles;US;shipped;03/03/2026 12:50;03/03/2026 13:30;2026-03-03
1012;WH-AMS;ORD-9008;TRACK-0008;DHL;Amsterdam;NL;shipped;28/02/2026 22:55;04/03/2026 07:00;2026-03-04
3001;WH-SYD;ORD-9058;TRACK-0013;Australia Post;Sydney;AU;in_transit;19/03/2026 19:12;20/03/2026 05:16;2026-03-20
3002;WH-LAX;ORD-9120;TRACK-0259;FedEx;Los Angeles;US;in_transit;10/03/2026 18:26;11/03/2026 08:14;2026-03-10
3003;WH-SIN;ORD-9143;TRACK-0080;Ninja Van;Singapore;SG;packed;08/03/2026 05:31;10/03/2026 19:31;2026-03-08
3004;WH-AMS;ORD-9151;TRACK-0186;dhl;Amsterdam;NL;processing;02/03/2026 21:55;03/03/2026 12:42;2026-03-02
3005;WH-SYD;ORD-9187;TRACK-0084;Australia Post;Sydney;AU;in_transit;02/03/2026 15:56;02/03/2026 07:51;2026-03-02
3006;WH-LHR;ORD-9195;TRACK-0139;Royal Mail;London;GB;delivered;06/03/2026 03:44;06/03/2026 17:28;2026-03-06
3007;WH-LAX;ORD-9162;TRACK-0109;UPS;Los Angeles;US;in_transit;04/03/2026 02:05;04/03/2026 11:39;2026-03-04
3008;WH-SIN;ORD-9113;TRACK-0071;UPS;Singapore;SG;delivered;04/03/2026 12:56;04/03/2026 20:08;2026-03-04
3009;WH-DXB;ORD-9240;TRACK-0129;Aramex;Dubai;AE;processing;17/03/2026 03:01;17/03/2026 13:57;2026-03-17
3010;WH-LAX;ORD-9233;TRACK-0002;UPS;Los Angeles;US;in_transit;03/03/2026 10:15;03/03/2026 23:20;2026-03-03
