shipment_key,tracking_number,missing_tracking_number,ambiguous_tracking,distinct_carrier_count,distinct_order_count,carrier,origin_city,origin_country,origin_known,current_status,current_status_source_value,current_status_source,current_status_event_ts_utc,is_terminal,has_status_conflict,has_post_terminal_event,has_clock_anomaly,first_event_ts_utc,last_event_ts_utc,event_count,warehouse_event_count,carrier_event_count,source_system_count,dwh_loaded_at_utc
Aramex:TRACK-0004,TRACK-0004,false,false,1,1,Aramex,Dubai,AE,true,in_transit,in_transit,warehouse,2026-03-03T12:53:00.000Z,false,false,false,false,2026-03-03T12:53:00.000Z,2026-03-03T12:53:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0008,TRACK-0008,false,false,1,1,Aramex,Dubai,AE,true,cancelled,cancelled,warehouse,2026-03-07T01:38:00.000Z,true,false,false,false,2026-03-07T01:38:00.000Z,2026-03-07T01:38:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0043,TRACK-0043,false,true,1,2,null,null,null,false,processing,processing,warehouse,2026-03-07T23:17:00.000Z,false,false,false,false,2026-03-07T07:54:00.000Z,2026-03-07T23:17:00.000Z,2,2,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0063,TRACK-0063,false,false,1,1,Aramex,Dubai,AE,true,shipped,shipped,warehouse,2026-03-13T05:24:00.000Z,false,false,false,false,2026-03-13T05:24:00.000Z,2026-03-13T05:24:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0091,TRACK-0091,false,false,1,1,Aramex,Dubai,AE,true,processing,processing,warehouse,2026-03-13T17:53:00.000Z,false,false,false,false,2026-03-13T17:53:00.000Z,2026-03-13T17:53:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0114,TRACK-0114,false,false,1,1,Aramex,Dubai,AE,true,processing,processing,warehouse,2026-03-05T22:01:00.000Z,false,false,false,false,2026-03-05T22:01:00.000Z,2026-03-05T22:01:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0123,TRACK-0123,false,false,1,1,Aramex,Dubai,AE,true,processing,processing,warehouse,2026-03-17T05:41:00.000Z,false,false,false,false,2026-03-17T05:41:00.000Z,2026-03-17T05:41:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0129,TRACK-0129,false,false,1,1,Aramex,Dubai,AE,true,processing,processing,warehouse,2026-03-16T23:01:00.000Z,false,false,false,false,2026-03-16T23:01:00.000Z,2026-03-16T23:01:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0135,TRACK-0135,false,false,1,1,Aramex,Dubai,AE,true,packed,packed,warehouse,2026-03-12T14:38:00.000Z,false,false,false,false,2026-03-12T14:38:00.000Z,2026-03-12T14:38:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0136,TRACK-0136,false,false,1,1,Aramex,Dubai,AE,true,shipped,shipped,warehouse,2026-03-14T10:08:00.000Z,false,false,false,false,2026-03-14T10:08:00.000Z,2026-03-14T10:08:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
Aramex:TRACK-0164,TRACK-0164,false,false,1,1,Aramex,Dubai,AE,true,exception,exception,warehouse,2026-03-09T22:46:00.000Z,false,false,false,false,2026-03-09T22:46:00.000Z,2026-03-09T22:46:00.000Z,1,1,0,1,2026-06-02T18:42:05.560Z
